Time	Loss Delta	Loss After	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
9.21292233467102	1000.02045861	-0.0204586	0	9.04339963834	5.03423333387	34.0	3.0	9.04339963834	5.03423333387	5001	5001
15.917434215545654	0.0146704	-0.035129	1	12.1678832117	7.45716332218	51.0	3.0	12.1678832117	7.45716332218	5001	10002
21.42735242843628	0.0187307	-0.0538597	2	17.1746575342	9.92162652129	65.0	4.0	17.1746575342	9.92162652129	5015	15017
26.762921810150146	-0.0200914	-0.0337683	3	21.1680672269	11.095702346	60.0	5.0	21.1680672269	11.095702346	5038	20055
31.97510266304016	-0.0233338	-0.0104345	4	25.6275510204	15.4384576832	116.0	5.0	25.6275510204	15.4384576832	5023	25078
38.41750621795654	0.00558839	-0.0160229	5	29.3391812865	15.1981699971	90.0	4.0	29.3391812865	15.1981699971	5017	30095
44.57038426399231	-0.0066045	-0.0094184	6	29.5882352941	14.3799649166	97.0	10.0	29.5882352941	14.3799649166	5030	35125
50.697879791259766	0.0123087	-0.0217271	7	35.2394366197	14.327620119	90.0	13.0	35.2394366197	14.327620119	5004	40129
56.1486279964447	-0.00696136	-0.0147657	8	35.7857142857	15.3942409057	84.0	7.0	35.7857142857	15.3942409057	5010	45139
61.9779691696167	0.00059547	-0.0153612	9	36.7720588235	19.427454388	128.0	7.0	36.7720588235	19.427454388	5001	50140
67.32316327095032	0.00613284	-0.021494	10	41.3388429752	20.3914395096	94.0	7.0	41.3388429752	20.3914395096	5002	55142
73.21017265319824	-0.00785318	-0.0136409	11	40.0873015873	17.3900262609	106.0	13.0	40.0873015873	17.3900262609	5051	60193
78.45248794555664	-0.00516514	-0.00847572	12	44.7699115044	22.7292680405	135.0	12.0	44.7699115044	22.7292680405	5059	65252
84.0990948677063	0.0093878	-0.0178635	13	48.4326923077	27.5631318777	163.0	11.0	48.4326923077	27.5631318777	5037	70289
90.35846590995789	-0.00562147	-0.012242	14	48.8834951456	22.611235703	122.0	10.0	48.8834951456	22.611235703	5035	75324
95.41168689727783	0.00624591	-0.018488	15	52.7113402062	26.7519953058	178.0	9.0	52.7113402062	26.7519953058	5113	80437
100.4145257472992	0.0101116	-0.0285996	16	60.3975903614	27.8056680358	161.0	11.0	60.3975903614	27.8056680358	5013	85450
105.9190411567688	-0.00911685	-0.0194828	17	58.9534883721	27.3112579976	131.0	10.0	58.9534883721	27.3112579976	5070	90520
111.62859630584717	-0.0217108	0.00222805	18	57.3977272727	28.9543291522	209.0	19.0	57.3977272727	28.9543291522	5051	95571
118.0246684551239	0.00133596	0.00089209	19	56.2247191011	23.0381963289	117.0	10.0	56.2247191011	23.0381963289	5004	100575
124.10839009284973	0.0163962	-0.0155041	20	68.7432432432	35.6567952702	172.0	11.0	68.7432432432	35.6567952702	5087	105662
128.94867706298828	-0.0147251	-0.000778946	21	65.1688311688	30.1073415551	228.0	29.0	65.1688311688	30.1073415551	5018	110680
134.3871374130249	0.00778551	-0.00856446	22	79.8888888889	41.7912845441	230.0	8.0	79.8888888889	41.7912845441	5033	115713
140.1178331375122	0.0125839	-0.0211483	23	85.5084745763	45.3129879542	254.0	31.0	85.5084745763	45.3129879542	5045	120758
146.3224196434021	-0.000826549	-0.0203218	24	74.8955223881	48.4549750471	310.0	25.0	74.8955223881	48.4549750471	5018	125776
152.07905745506287	0.000488501	-0.0208103	25	77.8153846154	41.463567811	215.0	8.0	77.8153846154	41.463567811	5058	130834
157.4834656715393	0.0132516	-0.0340619	26	78.578125	36.5059090626	161.0	26.0	78.578125	36.5059090626	5029	135863
163.27042531967163	-0.0234454	-0.0106165	27	92.4909090909	40.6183445915	197.0	25.0	92.4909090909	40.6183445915	5087	140950
168.8027594089508	-0.00271007	-0.00790638	28	83.393442623	42.5680857476	201.0	18.0	83.393442623	42.5680857476	5087	146037
173.79123878479004	0.0083977	-0.0163041	29	91.1272727273	42.1469526755	229.0	20.0	91.1272727273	42.1469526755	5012	151049
179.867027759552	-0.0185839	0.00227986	30	99.0961538462	45.3445186304	241.0	28.0	99.0961538462	45.3445186304	5153	156202
185.10280799865723	0.000819619	0.00146024	31	98.6862745098	39.6744053397	209.0	28.0	98.6862745098	39.6744053397	5033	161235
190.0238654613495	0.0150139	-0.0135537	32	92.7592592593	32.6371381196	164.0	25.0	92.7592592593	32.6371381196	5009	166244
195.90693140029907	-0.00363534	-0.00991832	33	112.333333333	46.6723806026	222.0	20.0	112.333333333	46.6723806026	5055	171299
201.7706744670868	-0.00301014	-0.00690819	34	102.06122449	34.5043080204	241.0	48.0	102.06122449	34.5043080204	5001	176300
207.74224209785461	-0.00954814	0.00263995	35	96.6153846154	31.0880596953	177.0	43.0	96.6153846154	31.0880596953	5024	181324
213.71160197257996	-0.011053	0.013693	36	93.1481481481	28.7546501279	192.0	46.0	93.1481481481	28.7546501279	5030	186354
219.62085223197937	0.0187533	-0.00506032	37	102.102040816	27.1730996166	181.0	55.0	102.102040816	27.1730996166	5003	191357
225.87356877326965	-0.0056121	0.000551779	38	101.26	29.6781468424	206.0	46.0	101.26	29.6781468424	5063	196420
231.48703002929688	0.0125209	-0.0119691	39	104.408163265	34.9693267152	230.0	41.0	104.408163265	34.9693267152	5116	201536
237.69565439224243	-0.0106203	-0.00134882	40	100.352941176	31.962492436	225.0	43.0	100.352941176	31.962492436	5118	206654
243.35736060142517	0.023632	-0.0249808	41	97.75	35.9448696457	238.0	43.0	97.75	35.9448696457	5083	211737
249.15809655189514	-0.027569	0.00258822	42	109.304347826	35.2018215717	185.0	33.0	109.304347826	35.2018215717	5028	216765
254.27742838859558	0.0217242	-0.019136	43	112.0	46.8135782772	367.0	61.0	112.0	46.8135782772	5040	221805
260.263286113739	-0.0125246	-0.00661136	44	135.297297297	50.2812978314	304.0	73.0	135.297297297	50.2812978314	5006	226811
265.6932792663574	0.0145933	-0.0212047	45	133.736842105	36.1150822922	206.0	48.0	133.736842105	36.1150822922	5082	231893
271.97058272361755	-0.026343	0.00513835	46	144.888888889	47.4457454935	278.0	69.0	144.888888889	47.4457454935	5216	237109
278.322468996048	0.00185289	0.00328546	47	141.305555556	40.5454610725	235.0	31.0	141.305555556	40.5454610725	5087	242196
284.06081771850586	-0.0126957	0.0159811	48	161.387096774	49.8570067676	296.0	86.0	161.387096774	49.8570067676	5003	247199
289.5341296195984	0.0191895	-0.0032084	49	158.65625	44.8195056414	302.0	84.0	158.65625	44.8195056414	5077	252276
294.80786323547363	0.0119497	-0.0151581	50	176.103448276	85.1264150533	412.0	21.0	176.103448276	85.1264150533	5107	257383
300.5426993370056	0.00284734	-0.0180055	51	197.461538462	69.1092951386	410.0	106.0	197.461538462	69.1092951386	5134	262517
306.2861216068268	-0.0293278	0.0113224	52	202.8	111.190287346	482.0	25.0	202.8	111.190287346	5070	267587
312.2022168636322	0.00880547	0.00251688	53	198.115384615	110.382317049	558.0	37.0	198.115384615	110.382317049	5151	272738
316.9839096069336	0.0147131	-0.0121963	54	221.826086957	133.036657967	484.0	25.0	221.826086957	133.036657967	5102	277840
322.8929092884064	0.00736719	-0.0195634	55	171.0	123.818684643	491.0	23.0	171.0	123.818684643	5130	282970
328.3272371292114	-0.0294504	0.00988699	56	292.444444444	146.729237495	511.0	41.0	292.444444444	146.729237495	5264	288234
334.3988103866577	0.0262684	-0.0163814	57	277.421052632	107.9787093	512.0	61.0	277.421052632	107.9787093	5271	293505
340.34602212905884	-0.0173935	0.00101206	58	256.19047619	138.212265684	555.0	43.0	256.19047619	138.212265684	5380	298885
346.21991872787476	0.000327938	0.000684122	59	256.4	126.25268314	465.0	71.0	256.4	126.25268314	5128	304013
352.24039793014526	0.00351116	-0.00282704	60	281.833333333	83.3881486384	404.0	62.0	281.833333333	83.3881486384	5073	309086
357.0361120700836	0.00777916	-0.0106062	61	338.066666667	130.183187172	692.0	81.0	338.066666667	130.183187172	5071	314157
362.21995425224304	0.0063442	-0.0169504	62	473.363636364	203.260367164	782.0	95.0	473.363636364	203.260367164	5207	319364
367.8856909275055	-0.0199858	0.00303544	63	858.166666667	190.717432053	1000.0	537.0	858.166666667	190.717432053	5149	324513
373.7478914260864	0.00311084	-7.5402e-05	64	660.75	343.421297388	1000.0	132.0	660.75	343.421297388	5286	329799
380.09149384498596	0.00633519	-0.0064106	65	557.6	380.719634377	1000.0	50.0	557.6	380.719634377	5576	335375
385.50925970077515	-0.0269019	0.0204913	66	891.0	215.566695016	1000.0	412.0	891.0	215.566695016	5346	340721
392.0344476699829	0.0328932	-0.0124019	67	548.9	366.222732773	1000.0	100.0	548.9	366.222732773	5489	346210
398.178671836853	-0.00943293	-0.00296898	68	700.125	222.737198005	1000.0	282.0	700.125	222.737198005	5601	351811
403.2169876098633	-0.00109044	-0.00187854	69	640.375	310.536204612	1000.0	136.0	640.375	310.536204612	5123	356934
408.9240040779114	-0.0156603	0.0137818	70	486.181818182	177.276270361	880.0	201.0	486.181818182	177.276270361	5348	362282
414.4580202102661	0.0240782	-0.0102964	71	431.833333333	177.402946863	722.0	82.0	431.833333333	177.402946863	5182	367464
420.93978571891785	-0.00369242	-0.006604	72	388.642857143	205.519414148	789.0	60.0	388.642857143	205.519414148	5441	372905
426.4673924446106	0.00475743	-0.0113614	73	938.333333333	93.2124216806	1000.0	758.0	938.333333333	93.2124216806	5630	378535
431.61714696884155	0.00148749	-0.0128489	74	750.0	284.487006984	1000.0	251.0	750.0	284.487006984	5250	383785
437.3825035095215	-0.00698081	-0.0058681	75	846.714285714	264.573356982	1000.0	265.0	846.714285714	264.573356982	5927	389712
443.1109309196472	-0.0185564	0.0126883	76	641.375	375.109629808	1000.0	118.0	641.375	375.109629808	5131	394843
448.24760842323303	0.00877198	0.00391628	77	846.166666667	343.981790539	1000.0	77.0	846.166666667	343.981790539	5077	399920
454.65637731552124	-0.00806908	0.0119854	78	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	405920
460.61675548553467	0.0237392	-0.0117539	79	661.625	437.349384789	1000.0	58.0	661.625	437.349384789	5293	411213
466.4752519130707	-0.00136734	-0.0103865	80	842.5	229.822939093	1000.0	352.0	842.5	229.822939093	5055	416268
473.8120126724243	-0.0132475	0.00286101	81	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	422268
478.8168942928314	-0.00154217	0.00440318	82	680.625	343.077228004	1000.0	152.0	680.625	343.077228004	5445	427713
485.70632910728455	0.0229989	-0.0185957	83	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	433713
492.18720602989197	-0.0113488	-0.00724688	84	957.833333333	94.2875330512	1000.0	747.0	957.833333333	94.2875330512	5747	439460
498.0103940963745	-0.0215897	0.0143429	85	834.833333333	211.110095027	1000.0	420.0	834.833333333	211.110095027	5009	444469
503.69195675849915	0.0210184	-0.00667557	86	886.666666667	142.986790377	1000.0	673.0	886.666666667	142.986790377	5320	449789
